Order_ID,Component_ID,Vendor_ID,Route_ID,Order_Date,Contractual_Delivery_Date,Actual_Delivery_Date,Delivered_Qty,Ordered_Qty,Price_per_Unit,Committed_Lead_Days,Actual_Lead_Days,Shortfall,Shortfall_flag,Delay_Indicator,Source,Destination,Mode,Avg_Transit_Days,Weather_Disruption_Index,Route Risk Score,Backup Route Availability,Peak_Congestion_Indicator,vendor_id,vendor_name,Reliability_score,avg_lead_days,past_incident_count,Quality_Rejection_Rate (%),Supplier_Dependency_Index,collaboration_tenure
O0001,C04,V009,R002,03-11-2001,01-01-2002,25-01-2002,50,580,65.2,59,83,530,1,1,Delhi,Bangalore,Train,3,2.1,2.6,Yes,Low,V009,Iota Traders,64,6,1,8.1,80,1
O0002,C01,V001,R022,10-11-2001,11-01-2002,07-01-2002,50,317,25.5,62,58,267,1,0,Delhi,Bangalore,Flight,2,1,1.2,Yes,Low,V001,Alpha Metals,81,3,1,2.6,49,6
O0003,C05,V001,R021,11-11-2001,01-01-2002,30-01-2002,124,140,37,51,80,16,1,1,Mumbai,Bangalore,Train,3,2.2,2.9,Yes,Medium,V001,Alpha Metals,81,3,1,2.6,49,6
O0004,C01,V012,R014,11-11-2001,05-01-2002,23-01-2002,50,50,25.5,55,73,0,0,1,Vijayawada,Bangalore,Flight,2,0.8,1,No,Low,V012,Mu Materials,50,11,5,6.7,80,4
O0005,C02,V002,R007,14-11-2001,06-01-2002,27-01-2002,50,362,12.75,53,74,312,1,1,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V002,Beta Supplies,76,9,4,4.2,64,1
O0006,C04,V001,R026,14-11-2001,01-01-2002,26-12-2001,304,305,65.2,48,42,1,1,0,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V001,Alpha Metals,81,3,1,2.6,49,6
O0007,C03,V001,R016,23-11-2001,17-01-2002,15-02-2002,59,387,88,55,84,328,1,1,Jodhpur,Bangalore,Lorry,4,2.6,3.3,No,High,V001,Alpha Metals,81,3,1,2.6,49,6
O0008,C02,V006,R007,24-11-2001,23-01-2002,26-01-2002,50,252,12.75,60,63,202,1,1,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V006,Zeta Imports,87,7,1,6,66,2
O0009,C03,V005,R012,25-11-2001,08-01-2002,14-01-2002,575,606,88,44,50,31,1,1,Indore,Bangalore,Train,3,2,2.2,No,Medium,V005,Epsilon Corp,68,10,1,5,70,1
O0010,C03,V006,R028,27-11-2001,25-01-2002,13-02-2002,50,138,88,59,78,88,1,1,Bhopal,Bangalore,Flight,2,0.9,1.2,Yes,Low,V006,Zeta Imports,87,7,1,6,66,2
O0011,C03,V014,R028,27-11-2001,03-01-2002,07-01-2002,166,234,88,37,41,68,1,1,Bhopal,Bangalore,Flight,2,0.9,1.2,Yes,Low,V014,Xi Exports,85,3,1,2.3,40,6
O0012,C03,V011,R001,28-11-2001,22-01-2002,12-02-2002,218,399,88,55,76,181,1,1,Mumbai,Bangalore,Lorry,4,2.4,3.1,Yes,Medium,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0013,C01,V013,R015,28-11-2001,20-01-2002,31-01-2002,200,669,25.5,53,64,469,1,1,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0014,C04,V011,R004,29-11-2001,23-01-2002,15-02-2002,83,91,65.2,55,78,8,1,1,Hyderabad,Bangalore,Train,3,1.8,2.1,Yes,Medium,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0015,C03,V013,R029,29-11-2001,10-01-2002,23-01-2002,50,253,88,42,55,203,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0016,C01,V011,R030,30-11-2001,16-01-2002,18-01-2002,50,147,25.5,47,49,97,1,1,Lucknow,Bangalore,Train,4,2.2,2.5,Yes,Medium,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0017,C05,V014,R024,03-12-2001,10-01-2002,05-01-2002,50,415,37,38,33,365,1,0,Hyderabad,Bangalore,Lorry,4,2.3,2.8,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0018,C02,V008,R007,04-12-2001,23-01-2002,26-01-2002,50,253,12.75,50,53,203,1,1,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V008,Theta Supplies,72,3,0,4.3,35,4
O0019,C03,V001,R016,06-12-2001,13-01-2002,29-01-2002,50,209,88,38,54,159,1,1,Jodhpur,Bangalore,Lorry,4,2.6,3.3,No,High,V001,Alpha Metals,81,3,1,2.6,49,6
O0020,C02,V002,R026,13-12-2001,28-01-2002,05-02-2002,119,289,12.75,46,54,170,1,1,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V002,Beta Supplies,76,9,4,4.2,64,1
O0021,C02,V007,R025,14-12-2001,01-02-2002,02-03-2002,136,153,12.75,49,78,17,1,1,Ahmedabad,Bangalore,Flight,2,0.7,1.1,Yes,Low,V007,Eta Vendors,92,4,1,2.4,51,2
O0022,C05,V006,R006,15-12-2001,04-01-2002,30-01-2002,313,392,37,20,46,79,1,1,Jaipur,Bangalore,Flight,2,0.7,1.1,Yes,Low,V006,Zeta Imports,87,7,1,6,66,2
O0023,C02,V010,R005,15-12-2001,25-01-2002,05-02-2002,152,380,12.75,41,52,228,1,1,Ahmedabad,Bangalore,Lorry,4,2.2,2.8,Yes,High,V010,Kappa Goods,63,8,4,6.1,86,2
O0024,C03,V012,R025,16-12-2001,04-02-2002,04-02-2002,233,605,88,50,50,372,1,1,Ahmedabad,Bangalore,Flight,2,0.7,1.1,Yes,Low,V012,Mu Materials,50,11,5,6.7,80,4
O0025,C05,V015,R017,17-12-2001,20-01-2002,20-01-2002,116,746,37,34,34,630,1,1,Mysore,Bangalore,Flight,2,0.6,1,No,Low,V015,Omicron Co.,81,3,0,4.4,69,7
O0026,C01,V013,R008,19-12-2001,13-01-2002,07-02-2002,50,644,25.5,25,50,594,1,1,Bhopal,Bangalore,Lorry,3,2,2.6,Yes,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0027,C02,V001,R016,20-12-2001,11-02-2002,16-02-2002,209,224,12.75,53,58,15,1,1,Jodhpur,Bangalore,Lorry,4,2.6,3.3,No,High,V001,Alpha Metals,81,3,1,2.6,49,6
O0028,C01,V012,R015,20-12-2001,17-01-2002,15-02-2002,67,172,25.5,28,57,105,1,1,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V012,Mu Materials,50,11,5,6.7,80,4
O0029,C01,V015,R015,21-12-2001,13-02-2002,13-03-2002,318,750,25.5,54,82,432,1,1,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V015,Omicron Co.,81,3,0,4.4,69,7
O0030,C05,V014,R020,22-12-2001,20-01-2002,25-01-2002,128,356,37,29,34,228,1,1,Amritsar,Bangalore,Train,4,3,3.5,No,High,V014,Xi Exports,85,3,1,2.3,40,6
O0031,C05,V014,R030,24-12-2001,22-02-2002,11-03-2002,544,750,37,60,77,206,1,1,Lucknow,Bangalore,Train,4,2.2,2.5,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0032,C01,V013,R013,26-12-2001,28-01-2002,20-02-2002,237,265,25.5,33,56,28,1,1,Thane,Bangalore,Lorry,4,2.5,2.9,No,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0033,C04,V015,R025,29-12-2001,02-02-2002,04-02-2002,83,433,65.2,35,37,350,1,1,Ahmedabad,Bangalore,Flight,2,0.7,1.1,Yes,Low,V015,Omicron Co.,81,3,0,4.4,69,7
O0034,C03,V010,R023,31-12-2001,16-02-2002,04-03-2002,176,231,88,47,63,55,1,1,Chennai,Bangalore,Train,4,1.9,2.1,Yes,Medium,V010,Kappa Goods,63,8,4,6.1,86,2
O0035,C02,V012,R022,01-01-2002,28-01-2002,12-02-2002,50,369,12.75,27,42,319,1,1,Delhi,Bangalore,Flight,2,1,1.2,Yes,Low,V012,Mu Materials,50,11,5,6.7,80,4
